Table,mean,std,min,max
lineitem,903.0977164,15.239316818835514,888.3978109999999,927.397782
orders,182.2454784,4.20284349816863,175.893383,187.279696
partsupp,111.1735118,0.9305150049170104,110.522,112.783973
part,27.1166536,0.8411659999053698,25.851882,28.187445
customer,20.930131199999998,1.3187497562097217,20.057995,23.236749
supplier,1.0739942,0.02614982704914125,1.051953,1.119398
nation,0.0046348,0.0007982234649520144,0.003685,0.005412
region,0.0041148,0.0010425697578579575,0.003013,0.005744
